id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
1544,,AS,FO,"<p><em>Macbeth</em>&nbsp;Word Trace</p>
","<p>Students trace a phrase or concept through the five acts of the play in order to determine if patterns develop in the narrative.</p>
",,,1,,,
1545,,AS,FO,"<p><em>Macbeth</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students take short comprehension quizzes on their reading.</p>
",,,1,,,
1546,,AS,SU,"<p><em>Macbeth</em>&nbsp;Final Essay</p>
","<p>Having completed their word traces, students synthesize their understanding through the completion of a lengthy essay on their chosen phrase or concept.</p>
",,,,,,
1547,,LE,,"<p>Shakespeare&rsquo;s&nbsp;<em>Hamlet</em>&nbsp;Week</p>
","<p>Students engage in an intensive, weeklong study of one of Shakespeare&rsquo;s greatest works. Students view the unabridged Kenneth Branagh film, stopping frequently to discuss concepts or read excerpts.</p>
",,,1|5,,,
1548,,AS,SU,"<p><em>Hamlet&nbsp;</em>Final Essay&nbsp;</p>
","<p>Students prepare an essay for the final exam, concerning one of several chosen topics on Shakespeare&rsquo;s tragedy.</p>
",,,1,,,
1549,,LE,,"<p>The Poetry of the New Science: Donne</p>
","<p>Students discuss the life and writings of John Donne, paying close attention to how new ways of thinking about the universe and the implementation of new technology affected the metaphors in his poetry.</p>
",,,1|4,,,
1550,,AS,FO,"<p>Metaphysical Poetry Sketches</p>
","<p>Students illustrate stanzas of Donne&rsquo;s &ldquo;The Sun Rising&rdquo; and &ldquo;The Flea&rdquo; as a way to understand the poems.</p>
",,,1|4,,,
1551,,LE,,"<p>The Humours Project</p>
","<p>Students are first presented with a handout about the various humours and their characteristics. They analyze&nbsp;the information they learned about the humours to diagnose what ails various fictional and historic characters.</p>
",,,1|4|8,,,
1552,,LE,,"<p><em>Hamlet&rsquo;s</em>&nbsp;Connections to Astronomy</p>
","<p>Students examine one scholar&rsquo;s theory regarding the connections in&nbsp;<em>Hamlet</em>&nbsp;to changing theories in astronomy during Shakespeare&rsquo;s time. They read quotes from the play and connect them to the works of Copernicus, Brahe, and Digges.</p>
",,,1|4,,,
1553,,LE,,"<p>Purging and Bloodletting: Medicines in Shakespeare&rsquo;s&nbsp;<em>Macbeth</em></p>
","<p>The last acts of&nbsp;<em>Macbeth</em>&nbsp;talk of the lead character as a cancer that needs to be removed from the ailing body of Scotland. Such references to blood, bloodletting, and purging found throughout Shakespeare&rsquo;s play lead to a discussion of the practice of bloodletting as a medical treatment of the time. Students conduct online research about the medical practices of the 1500s and 1600s and share their findings.</p>
",,,1|4|8,,,
1554,,LE,,"<p>Jamestown and the Making of John Smith</p>
","<p>Students read from the writings of John Smith and examine how autobiography fostered mobilization within what was once a static social class system.</p>
",,,1,,,
1555,,LE,,"<p>The Mayflower Compact and Beyond</p>
","<p>Students examine the reason why the Mayflower Compact was created and chronicle the lives of the original passengers.</p>
",,,1,,,
1556,,LE,,"<p>The Poetry of Anne Bradstreet</p>
","<p>Since the majority of this unit emphasizes New England, students learn more about Puritan society and how Anne Bradstreet&#39;s poetry was incongruous with the values of the majority of her community, particularly in how she openly displayed emotions in her work and how she championed females&rsquo; abilities. Students read &ldquo;In Honor of That High and Mighty Princess, Queen Elizabeth, of Happy Memory&quot; and &quot;To My Dear and Loving Husband.&quot;</p>
",,,1,,,
1557,,LE,,"<p>Introducing Milton&rsquo;s&nbsp;<em>Paradise Lost</em></p>
","<p>Students read a summary of John Milton&rsquo;s epic and discuss the political context in which it was written.</p>
",,,1,,,
1558,,LE,,"<p>Arthur Miller&rsquo;s&nbsp;<em>The Crucible</em></p>
","<p>Students read Arthur Miller&rsquo;s play, which details the events that surrounded the 1692 Salem witch trials.</p>
",,,1,,,
1559,,AS,FO,"<p><em>The Crucible</em>&nbsp;Act 1 Character Webbing</p>
","<p>Students create a character web as a way not only to understand the structure of the play, but also to discuss why the early American social structure leads citizens to turn against one another.</p>
",,,1,,,
1560,,AS,FO,"<p><em>The Crucible</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students take short comprehension quizzes on their reading.</p>
",,,1,,,
1561,,LE,,"<p>Moli&egrave;re&rsquo;s&nbsp;<em>Tartuffe</em></p>
","<p>This French comedy details the events that unfold when Tartuffe, a con man and religious hypocrite, worms his way into a dysfunctional upper-class family. The play provides proof of how Europe, after centuries of religious fighting and crises of faith, begins opting for rationalism and a secular nation-state.</p>
",,,1|4|6,,,
1562,,AS,FO,"<p><em>Tartuffe</em>&nbsp;Reading Comprehension Quizzes</p>
","<p>Students take short comprehension quizzes on their reading.</p>
",,,1,,,
1563,,AS,FO,"<p>Third Trimester Final</p>
","<p>Students complete the year with a final covering the events of the final trimester. The exam is in the form of short-answer, multiple-choice, and essay questions.</p>
",,,1,,,
1564,,LE,,"<p>Reading and Responding to&nbsp;<em>Born with a Bang: The Universe Tells Our Cosmic Story</em></p>
","<p>In this learning experience, students engage in a read-aloud from&nbsp;<em>Born with a Bang</em>&nbsp;and then discuss, illustrate, and write about what they&rsquo;ve learned and questions they have about the Big Bang Theory.</p>
",,,1|4,,,
1565,,LE,,"<p>Solar System Read-Alouds</p>
","<p>Students listen to a nonfiction text about the Solar System, discuss what they learned, and share new vocabulary words.</p>
",,,1|4,,,
1566,,LE,,"<p>Independent Reading: Solar System</p>
","<p>Individually and in small groups, students select and read appropriately leveled texts related to the Solar System, pairing nonfiction with fiction resources. They compare and contrast the different perspectives, creating comparison charts to focus their findings.</p>
",,,1|4,,,
1567,,LE,,"<p>Solar System Writing Workshop</p>
","<p>As students engage in read-alouds, learn new vocabulary, and conduct research about the Solar System, they develop new writing skills and strategies to document and communicate their learning. Simple&nbsp;note-taking skills are introduced and used for writing experiences.</p>
",,,1|4,,,
1568,,AS,FO,"<p>Solar System Vocabulary</p>
","<p>Students learn Solar System vocabulary through multiple modalities, including hands-on activities and movement. To demonstrate their understanding of key vocabulary, students then illustrate and label the Solar System using key terms.</p>
",,,1|4|3|7|6,,,
1569,,LE,,"<p>Planet Research</p>
","<p>Students formulate questions to guide explorations about the Solar System. They compare, select, and use appropriate sources to glean information about the Solar System and begin to draw conclusions using information discovered from a variety of sources.</p>
",,,1|4,,,
1570,,LE,,"<p>Moon Exploration</p>
","<p>Students listen to read-alouds and explore websites as they discuss the phases of the Moon and human exploration of the Moon. Together, the class creates a Moon journal documenting how the Moon changes over time.</p>
",,,1|4,,,
1571,,AS,FO,"<p>Moon Vocabulary</p>
","<p>Students illustrate and label the phases of the Moon to demonstrate their understanding of key vocabulary.</p>
",,,1|4,,,
1572,,LE,,"<p>Planet Media Writing Workshop</p>
","<p><span style=""line-height: 1.42857;"">Students conduct further research on a planet or another part of the Solar System and create nonfiction books about the Solar System.</span></p>
",,,4|7,,,
1573,,AS,SU,"<p>&ldquo;Solar Jam&rdquo; Script Writing</p>
","<p>To prepare for their &ldquo;Solar Jam&rdquo; performance, students speak in first person as the planet/celestial object they will represent. Students each take on a role, talking to each other about the connections between their planets. Through a process of collaborative writing, students work together to create a script for their performance.</p>
",,,4|6,,,
1574,,LE,,"<p>Creation Myth Journal Reflections</p>
","<p>After listening to daily read-alouds from various creation myths, students write reflections on each myth, making personal connections and describing how each myth helps them understand that culture&rsquo;s view of creation. They respond to the different perspectives and ideas presented in the myths by recording their reflections and understandings in their Creation Myth journals. This story dovetails with studies in the Cultural History domain as students learn how different cultures explain the formation of Earth and all life on the planet.</p>
",,,1,,,
1575,,LE,,"<p>Comparing Myths from Around the World</p>
","<p>Following a rereading of each myth from the previous learning experience, students take notes that help them analyze the structure and elements of each myth. These notes are used to guide students as they discuss commonalities among the myths and share their understanding of each culture&rsquo;s view of creation.</p>
",,,1,,,
1576,,AS,SU,"<p>Creation Myths</p>
","<p>Students write their own creation myths, drawing inspiration from the myths they have studied and resources about natural phenomena. They follow the steps of the writing process to plan, draft, and revise their myths.</p>
",,,1|4,,,
1577,,LE,,"<p>Independent Reading: Earth Systems</p>
","<p>Individually and in small groups, students select and read appropriately leveled texts related to the study of Earth Systems. They respond to questions related to the study of Earth Systems, presenting different perspectives/points of view from their various sources.</p>
",,,1,,,
1578,,LE,,"<p>Written Reflections about Continents and Oceans</p>
","<p>Students participate in discussions and create drawings and written reflections as they learn about continents and oceans. Through their analysis and discussion, students gain awareness of the need for water conservation in all parts of the world.</p>
",,,1|4,,,
1579,,AS,FO,"<p>Earth Systems Vocabulary</p>
","<p>While encountering new words related to Earth&rsquo;s systems in context, students generate definitions and discuss the meanings of key terms, including:&nbsp;<em>flood</em>,&nbsp;<em>windstorm</em>,<em>earthquake</em>,&nbsp;<em>volcano</em>,&nbsp;<em>erosion</em>,&nbsp;<em>geology</em>,&nbsp;<em>glacier</em>,&nbsp;<em>canyon</em>,&nbsp;<em>mountain</em>,&nbsp;<em>earth system</em>, and&nbsp;<em>atmosphere</em>.</p>
",,,4|7,,,
